moment,phi_2,phi_3,lambda_2,R_0,sigma_1_0,sigma_1_1,sigma_2_0,sigma_2_1,sigma_4_0
mean_c_p,-0.8074318867565129,-1.2995017593428555,-0.2351981620063115,0.27117031795136076,-0.96718212761477684,-0.43993684965429602,-0.11692009804629977,-0.012047094495348798,0.0064029952385635802
mean_h_p,-1.7037680410681739,-2.05235984160691,-0.5394659003466501,-1.3121245805660042,-1.6840940862171081,-0.80355224610908216,0.16255371052161241,0.029790268368384831,0.085968113505879851
mean_t_p_early,-1.1857607644626185,2.8617023040379705,0.20519230753473455,0.29823388489002428,1.9096490221689533,0.37180227100814184,-0.10067241041733199,-0.014228548893050613,-0.029327724832166335
mean_t_p_late,-0.70282830802942953,1.5436611031239666,1.0687038392607873,1.9939819851046396,1.801369628929536,1.5963016530424727,-0.056852304473495319,-0.014094404697226337,-0.1384482817899102
mean_e_p_early,-1.0197612418654158,3.6094076316852175,0.26128720531813088,0.4789757371892196,-1.3292560319829518,-0.51170135359974023,4.2115491952552961,0.36087406064900485,-0.023125987812420631
mean_e_p_late,-0.80229375005496106,1.5019650035021122,1.241005051063232,3.2362781456433996,-1.2321295057709098,-0.81189804576308477,3.7688217975131417,1.0769502382341256,-0.12381419952092465
mean_i_c_early,1.5501607483733306,4.8147666800572475,1.0447482967049782,-0.074002977810905257,-3.4578409577636915,-1.2159291266098826,0.1143524575468069,0.03078855807625569,9.1589974293650336
mean_i_c_late,0.37237893399887095,2.5557348519479466,1.3085742219833967,1.7644417679439499,-1.1631735600647757,-1.0583274179273432,0.034327803713207761,0.017670266439617777,4.821727968035816
mean_hc_early,-1.0474504537298479,2.5802976206860784,0.11176827121186506,6.8297586059068216,-0.88069424789427586,-0.33080900509805389,-0.11613238777563596,-0.014427988111798129,-0.059964177724669554
mean_hc_late,-0.6061847226694006,1.609851880676505,0.85320693323094343,7.723232501142796,-1.4838646374972342,-1.0025580495968356,-0.093312344443763365,-0.022108886026472874,-0.27795672699362228
